coverage_pct,eligible_countries,indicator_id,non_null_countries,year
96.77,217,NY.GDP.PCAP.KD,210,2010
96.77,217,NY.GDP.PCAP.KD,210,2011
96.31,217,NY.GDP.PCAP.KD,209,2012
96.77,217,NY.GDP.PCAP.KD,210,2013
96.77,217,NY.GDP.PCAP.KD,210,2014
97.7,217,NY.GDP.PCAP.KD,212,2015
96.31,217,NY.GDP.PCAP.KD,209,2016
96.31,217,NY.GDP.PCAP.KD,209,2017
96.31,217,NY.GDP.PCAP.KD,209,2018
95.85,217,NY.GDP.PCAP.KD,208,2019
95.85,217,NY.GDP.PCAP.KD,208,2020
95.85,217,NY.GDP.PCAP.KD,208,2021
95.85,217,NY.GDP.PCAP.KD,208,2022
93.55,217,NY.GDP.PCAP.KD,203,2023
91.71,217,NY.GDP.PCAP.KD,199,2024
96.77,217,NY.GDP.PCAP.KD.ZG,210,2010
96.77,217,NY.GDP.PCAP.KD.ZG,210,2011
96.31,217,NY.GDP.PCAP.KD.ZG,209,2012
96.31,217,NY.GDP.PCAP.KD.ZG,209,2013
96.77,217,NY.GDP.PCAP.KD.ZG,210,2014
97.24,217,NY.GDP.PCAP.KD.ZG,211,2015
96.77,217,NY.GDP.PCAP.KD.ZG,210,2016
96.77,217,NY.GDP.PCAP.KD.ZG,210,2017
97.24,217,NY.GDP.PCAP.KD.ZG,211,2018
96.77,217,NY.GDP.PCAP.KD.ZG,210,2019
96.77,217,NY.GDP.PCAP.KD.ZG,210,2020
96.77,217,NY.GDP.PCAP.KD.ZG,210,2021
96.31,217,NY.GDP.PCAP.KD.ZG,209,2022
94.01,217,NY.GDP.PCAP.KD.ZG,204,2023
92.17,217,NY.GDP.PCAP.KD.ZG,200,2024
86.18,217,SL.UEM.TOTL.ZS,187,2010
86.18,217,SL.UEM.TOTL.ZS,187,2011
86.18,217,SL.UEM.TOTL.ZS,187,2012
86.18,217,SL.UEM.TOTL.ZS,187,2013
86.18,217,SL.UEM.TOTL.ZS,187,2014
86.18,217,SL.UEM.TOTL.ZS,187,2015
86.18,217,SL.UEM.TOTL.ZS,187,2016
86.18,217,SL.UEM.TOTL.ZS,187,2017
86.18,217,SL.UEM.TOTL.ZS,187,2018
86.18,217,SL.UEM.TOTL.ZS,187,2019
86.18,217,SL.UEM.TOTL.ZS,187,2020
86.18,217,SL.UEM.TOTL.ZS,187,2021
85.71,217,SL.UEM.TOTL.ZS,186,2022
84.79,217,SL.UEM.TOTL.ZS,184,2023
83.87,217,SL.UEM.TOTL.ZS,182,2024
100.0,217,SP.DYN.LE00.IN,217,2010
100.0,217,SP.DYN.LE00.IN,217,2011
100.0,217,SP.DYN.LE00.IN,217,2012
100.0,217,SP.DYN.LE00.IN,217,2013
100.0,217,SP.DYN.LE00.IN,217,2014
100.0,217,SP.DYN.LE00.IN,217,2015
100.0,217,SP.DYN.LE00.IN,217,2016
100.0,217,SP.DYN.LE00.IN,217,2017
100.0,217,SP.DYN.LE00.IN,217,2018
100.0,217,SP.DYN.LE00.IN,217,2019
100.0,217,SP.DYN.LE00.IN,217,2020
100.0,217,SP.DYN.LE00.IN,217,2021
100.0,217,SP.DYN.LE00.IN,217,2022
100.0,217,SP.DYN.LE00.IN,217,2023
100.0,217,SP.DYN.LE00.IN,217,2024
100.0,217,SP.POP.TOTL,217,2010
100.0,217,SP.POP.TOTL,217,2011
100.0,217,SP.POP.TOTL,217,2012
100.0,217,SP.POP.TOTL,217,2013
100.0,217,SP.POP.TOTL,217,2014
100.0,217,SP.POP.TOTL,217,2015
100.0,217,SP.POP.TOTL,217,2016
100.0,217,SP.POP.TOTL,217,2017
100.0,217,SP.POP.TOTL,217,2018
100.0,217,SP.POP.TOTL,217,2019
100.0,217,SP.POP.TOTL,217,2020
100.0,217,SP.POP.TOTL,217,2021
100.0,217,SP.POP.TOTL,217,2022
100.0,217,SP.POP.TOTL,217,2023
100.0,217,SP.POP.TOTL,217,2024
68.66,217,SE.SEC.ENRR,149,2010
71.89,217,SE.SEC.ENRR,156,2011
69.12,217,SE.SEC.ENRR,150,2012
64.98,217,SE.SEC.ENRR,141,2013
68.66,217,SE.SEC.ENRR,149,2014
71.43,217,SE.SEC.ENRR,155,2015
67.74,217,SE.SEC.ENRR,147,2016
64.52,217,SE.SEC.ENRR,140,2017
64.52,217,SE.SEC.ENRR,140,2018
64.98,217,SE.SEC.ENRR,141,2019
66.82,217,SE.SEC.ENRR,145,2020
68.2,217,SE.SEC.ENRR,148,2021
64.52,217,SE.SEC.ENRR,140,2022
67.74,217,SE.SEC.ENRR,147,2023
50.23,217,SE.SEC.ENRR,109,2024
